,SUBJECT,recall_condition,accuracy
1,1,full,0.753609656874182
2,1,easy,0.98445372103066
3,1,hard,0.638056556057937
4,1,new,0.744020814570193
5,2,full,0.778167016981958
6,2,easy,0.986167146974064
7,2,hard,0.677708764665264
8,2,new,0.764811849479598
9,3,full,0.619382669514586
10,3,easy,0.728390596745026
11,3,hard,0.340655664585189
12,3,new,0.821622774282972
13,4,full,0.715778661069179
14,4,easy,0.947924673328212
15,4,hard,0.330712592037949
16,4,new,0.920427294528011
17,5,full,0.689824233732445
18,5,easy,0.968178545716344
19,5,hard,0.423380605596001
20,5,new,0.844190933653557
21,6,full,0.653847761568347
22,6,easy,0.898191681735986
23,6,hard,0.197868087941372
24,6,new,0.947374027910942
25,7,full,0.588318038716604
26,7,easy,0.815569035239745
27,7,hard,0.24878612716763
28,7,new,0.87267797971684
29,8,full,0.714745308310998
30,8,easy,0.881548536209556
31,8,hard,0.666210329807101
32,8,new,0.662733529990147
